RELPATH	CDFILE	WJBH	ZRZ	WJCLTM	RQ	BZ
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程竣工档案编制说明及目录索引		
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000001.tif		中华人民共和国上海出入境检验检疫局	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程项目编制说明	2011.11.08	
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000002.tif		中华人民共和国上海出入境检验检疫局	案卷目录	2011.11.08	
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000003.tif		中华人民共和国上海出入境检验检疫局	案卷分目录	2011.11.08	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料		
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000001.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程项目可行性报告		
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000002.tif	沪建建[2002]460号	上海市建设和管理委员会	关于加强上海市建设工程抗震设防管理工作的通知		
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000003.tif	310115200908031701	上海市建筑业管理办公室	建筑工程施工许可证	2009.12.21	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000004.tif		上海市建筑业管理办公室	上海市建设工程报建表	2009.08.04	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000005.tif		上海市建筑建材业受理服务中心	上海市建设工程安全质量监督申报表	2010.04.02	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000006.tif		上海市建设工程招标投标管理办公室	上海市建设工程施工中标(交易成交)通知书	2009.10.16	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000007.tif		上海市建设工程招标投标管理办公室	上海市建设工程施工招投标办事流程表	2009.10.16	
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程施工招标文件、回标分析情况说明		
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000001.tif		上海市建设工程招标投标管理办公室	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程施工招标文件	2009.08	
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000002.tif		上海宁信建设工程咨询有限公司	招标投标情况书面报告	2009.10	
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000003.tif		上海宁信建设工程咨询有限公司	回标分析情况说明	2009.10
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000011.tif		上海讯强建筑装饰工程有限公司	(1~21层南)玻璃幕墙工程检验批质量验收记录表(主控)	2010.06.20~2010.06.30
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000012.tif		上海讯强建筑装饰工程有限公司	幕墙分项工程质量验收记录	2010.06.30
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000013.tif		上海讯强建筑装饰工程有限公司	(1~21层北)玻璃幕墙工程检验批质量验收记录表(一般)	2010.06.20~2010.06.30
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000014.tif		上海讯强建筑装饰工程有限公司	幕墙分项工程质量验收记录	2010.06.20
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000015.tif		上海讯强建筑装饰工程有限公司	(1~21层北)玻璃幕墙工程检验批质量验收记录表(一般)	2010.06.20~2010.06.30
0024 消防设施检测报告	0024 消防设施检测报告\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程消防设施检测报告	
0024 消防设施检测报告	0024 消防设施检测报告\00000001.tif	沪消-X2010-068104538G	上海沪消防检测中心	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程消防设施检测报告	2010.09.08
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000001.tif		上海市建设工程安全质量监督总站	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程电梯安装(通州升贤)电梯分部质量验收证明书	2010.10.26
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000002.tif		通州市升贤电梯有限公司	施工方案	2010.05.10
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000003.tif		上海同济工程项目管理咨询有限公司	电力驱动、液压电梯隐蔽工程安装检查记录	2010.08.15
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000004.tif	3150-X11295-2010-74	上海市特种设备监督检验技术研究院	无机房电梯监督检验报告	2010.09.11
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000005.tif		通州市升贤电梯有限公司	分部工程质量控制资料核查记录	2010.09.01
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000006.tif		通州市升贤电梯有限公司	分部工程安全和功能检验资料核查及主要功能抽查记录	2010.09.01
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000007.tif		通州市升贤电梯有限公司	分部工程观感质量检查记录	2010.09.01
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000008.tif		通州市升贤电梯有限公司	电梯分部工程质量验收记录	2010.09.01
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000009.tif		通州市升贤电梯有限公司	1号电梯分项工程质量验收记录	2010.09.01
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000010.tif		通州市升贤电梯有限公司	2号电梯分项工程质量验收记录	2010.09.01
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000011.tif		通州市升贤电梯有限公司	电梯安装工程设备进场质量验收记录表	2010.05.18
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000012.tif		通州市升贤电梯有限公司	电梯安装土建交接质量验收记录表	2010.05.19
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000013.tif		通州市升贤电梯有限公司	电梯驱动主机安装工程质量验收记录表	2010.07.11
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000014.tif		通州市升贤电梯有限公司	电梯导轨安装工程质量验收记录表	2010.07.11
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000015.tif		通州市升贤电梯有限公司	电力液压电梯门系统安装工程质量验收记录表	2010.07.11
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000016.tif		通州市升贤电梯有限公司	电梯轿厢及对重安装工程质量验收记录表	2010.07.25
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000017.tif		通州市升贤电梯有限公司	电梯安全部件安装工程质量验收记录表	2010.08.19
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000018.tif		通州市升贤电梯有限公司	电梯悬挂装置、随行电缆、补偿装置安装工程质量验收记录表	2010.08.19
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000019.tif		通州市升贤电梯有限公司	电气电气装置安装工程质量验收记录表	2010.08.20
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000020.tif		通州市升贤电梯有限公司	电梯整机安装工程质量验收记录表	2010.08.30
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000021.tif		通州市升贤电梯有限公司	电梯工程安全保证体系	2010.08.30
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000022.tif		通州市升贤电梯有限公司	施工现场事故应急救援预案汇总	2010.05.10
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000023.tif		通州市升贤电梯有限公司	特种设备安装改造维修告知书	2010.03.30
0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等	0025 电梯安装(通州升贤)施工方案、电梯检测报告、分部工程验收记录及质检批等\00000024.tif		上海三菱电梯有限公司、通州市升贤电梯有限公司	产品安装配套工程项目委托安全协议	2010.03.22
0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等	0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等	
0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等	0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等\00000001.tif		中华人民共和国上海出入境检验检疫局、上海三菱电梯有限公司安装维修分公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程电梯供货(上海三菱)产品买卖合同及预算	2009.12.02~2009.12.04
0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等	0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等\00000002.tif		中华人民共和国上海出入境检验检疫局、上海三菱电梯有限公司安装维修分公司	产品安装合同	2009.11.25
0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等	0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等\00000003.tif		中华人民共和国上海出入境检验检疫局、上海三菱电梯有限公司	合同修改书	2009.12.29
0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等	0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等\00000004.tif		中华人民共和国上海出入境检验检疫局、上海三菱电梯有限公司安装维修分公司	产品改造合同及预算	2010.03.15
0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等	0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等\00000005.tif		上海出入境检验检疫局保卫(国资)处基建科、上海三菱电梯有限公司安装维修分公司	外来施工队伍安全协议书	2009.12.29
0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等	0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等\00000006.tif		上海出入境检验检疫局保卫(国资)处基建科	有关钢结构部分进行氟炭漆工艺阶段的工作联系函	2010.03.19
0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等	0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等\00000007.tif		上海三菱电梯安装维修分公司安装部	产品安装联系单、发货清单、事项联系单	2010.03.01~2010.03.19
0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等	0026 电梯供货(上海三菱)合同及预算、产品安装联系单、发货清单、事项联系单等\00000008.tif		上海三菱电梯有限公司	电梯非接触读卡系统随机资料	2010.03.15
0027 竣验收备案证书、设计、施工单位合格证明书等材料	0027 竣验收备案证书、设计、施工单位合格证明书等材料\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程竣验收备案证书、设计、施工单位合格证明书等材料	
0027 竣验收备案证书、设计、施工单位合格证明书等材料	0027 竣验收备案证书、设计、施工单位合格证明书等材料\00000001.tif	2010SH0308	上海市建筑业管理办公室	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程建设工程竣工验收备案证	2010.12.09
0027 竣验收备案证书、设计、施工单位合格证明书等材料	0027 竣验收备案证书、设计、施工单位合格证明书等材料\00000002.tif		中南建筑设计院上海分院	设计单位工程质量检查报告(合格证明书)	2010.09.17
0027 竣验收备案证书、设计、施工单位合格证明书等材料	0027 竣验收备案证书、设计、施工单位合格证明书等材料\00000003.tif		江苏五星建设集团有限公司	施工单位工程质量竣工报告(合格证明书)	2010.09.17
0027 竣验收备案证书、设计、施工单位合格证明书等材料	0027 竣验收备案证书、设计、施工单位合格证明书等材料\00000004.tif		通州市升贤电梯有限公司	施工单位工程质量竣工报告(合格证明书)(电梯)	2010.09.17
0028 消防备案受理凭证、审价报告、工程量清单报价决算书等	0028 消防备案受理凭证、审价报告、工程量清单报价决算书等\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程消防备案受理凭证、审价报告、工程量清单报价决算书等	
0028 消防备案受理凭证、审价报告、工程量清单报价决算书等	0028 消防备案受理凭证、审价报告、工程量清单报价决算书等\00000001.tif		中华人民共和国上海出入境检验检疫局	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程建设单位竣工验收通知单	
0028 消防备案受理凭证、审价报告、工程量清单报价决算书等	0028 消防备案受理凭证、审价报告、工程量清单报价决算书等\00000002.tif		中华人民共和国上海出入境检验检疫局	建设工程竣工验收工程明细表	
0028 消防备案受理凭证、审价报告、工程量清单报价决算书等	0028 消防备案受理凭证、审价报告、工程量清单报价决算书等\00000003.tif		中华人民共和国上海出入境检验检疫局	关于上海检验检疫局综合实验楼增设电梯工程竣工验收的情况说明	2010.09.28
0028 消防备案受理凭证、审价报告、工程量清单报价决算书等	0028 消防备案受理凭证、审价报告、工程量清单报价决算书等\00000004.tif	310000WSJ00016513	上海市浦东新区公安消防支队	建设工程消防设计备案受理凭证	2010.09.28
0028 消防备案受理凭证、审价报告、工程量清单报价决算书等	0028 消防备案受理凭证、审价报告、工程量清单报价决算书等\00000005.tif		上海市浦东新区公安消防支队	建设工程消防设计备案表	2010.09.28
0028 消防备案受理凭证、审价报告、工程量清单报价决算书等	0028 消防备案受理凭证、审价报告、工程量清单报价决算书等\00000006.tif	310000WYS100016634	上海市浦东新区公安消防支队	建设工程竣工验收消防备案受理凭证	2010.09.29
0028 消防备案受理凭证、审价报告、工程量清单报价决算书等	0028 消防备案受理凭证、审价报告、工程量清单报价决算书等\00000007.tif	沪同工资报字(2011)第DZ0060号	上海同大工程咨询有限公司	审价报告	2011.08.25
0028 消防备案受理凭证、审价报告、工程量清单报价决算书等	0028 消防备案受理凭证、审价报告、工程量清单报价决算书等\00000008.tif		江苏五星建设集团有限公司	工程量清单报价决算书	2010.09.15
0029 建筑通用竣工图	0029 建筑通用竣工图\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程建筑通用竣工图	
0029 建筑通用竣工图	0029 建筑通用竣工图\00000001.tif		江苏五星建设集团有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程建筑通用竣工图图纸目录	2010.10.18
0029 建筑通用竣工图	0029 建筑通用竣工图\00000002.tif	建施通-1A	江苏五星建设集团有限公司	建筑设计说明	2010.10.18
0029 建筑通用竣工图	0029 建筑通用竣工图\00000003.tif	建施通-2A	江苏五星建设集团有限公司	底坑层平面竣工图、标准层平面竣工图	2010.10.18
0029 建筑通用竣工图	0029 建筑通用竣工图\00000004.tif	建施通-3A	江苏五星建设集团有限公司	79.600标高平面竣工图、基坑改造后剖面竣工图、①大样竣工图	2010.10.18
0029 建筑通用竣工图	0029 建筑通用竣工图\00000005.tif	建施通-4A	江苏五星建设集团有限公司	立面竣工图、1-1剖面竣工图	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程建筑竣工图	
0030 建筑竣工图	0030 建筑竣工图\00000001.tif		江苏五星建设集团有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程建筑竣工图图纸目录	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000002.tif	建施-1B	江苏五星建设集团有限公司	建筑设计说明	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000003.tif	建施-2A	江苏五星建设集团有限公司	底坑层平面竣工图、标准层平面竣工图	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000004.tif	建施-3A	江苏五星建设集团有限公司	79.600标高平面竣工图、标准层平面玻璃幕墙分格竣工图	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000005.tif	建施-4A	江苏五星建设集团有限公司	1-1剖面竣工图、侧立面分格竣工图、正立面分格竣工图	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000006.tif	建施-5A	江苏五星建设集团有限公司	基坑改造后剖面竣工图、①大样竣工图、标准层室内立面竣工图	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000007.tif	建施-6A	江苏五星建设集团有限公司	电梯井道剖面竣工图	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000008.tif	建施-7A	江苏五星建设集团有限公司	电梯井道布置竣工图	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000009.tif	建施-8A	江苏五星建设集团有限公司	观光电梯大样竣工图	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000010.tif	建施-9A	江苏五星建设集团有限公司	观光电梯平面竣工图PL01	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000011.tif	建施-10A	江苏五星建设集团有限公司	观光电梯节点竣工图CS01	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000012.tif	建施-11A	江苏五星建设集团有限公司	观光电梯节点竣工图JD01	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000013.tif	建施-12A	江苏五星建设集团有限公司	观光电梯节点竣工图JD02	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000014.tif	建施-13A	江苏五星建设集团有限公司	观光电梯节点竣工图JD03	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000015.tif	建施-14A	江苏五星建设集团有限公司	观光电梯节点竣工图JD04	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000016.tif	建施-15A	江苏五星建设集团有限公司	观光电梯节点竣工图JD05	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000017.tif	建施-16A	江苏五星建设集团有限公司	观光电梯节点竣工图JD06	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000018.tif	建施-17A	江苏五星建设集团有限公司	观光电梯节点竣工图JD07	2010.10.18
0030 建筑竣工图	0030 建筑竣工图\00000019.tif	建施-18A	江苏五星建设集团有限公司	观光电梯节点竣工图JD08	2010.10.18
0031 结构竣工图	0031 结构竣工图\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程结构竣工图	
0031 结构竣工图	0031 结构竣工图\00000001.tif		江苏五星建设集团有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程结构竣工图图纸目录	2010.10.18
0031 结构竣工图	0031 结构竣工图\00000002.tif	结施-01A	江苏五星建设集团有限公司	地下室顶板局部结构改建加固竣工图	2010.10.18
0031 结构竣工图	0031 结构竣工图\00000003.tif	结施-02B	江苏五星建设集团有限公司	二~二十一层结构平面竣工图、标高79.280结构平面竣工图	2010.10.18
0031 结构竣工图	0031 结构竣工图\00000004.tif	结施-03A	江苏五星建设集团有限公司	钢柱与斜撑连接节点、梁柱与斜撑连接节点(一)~(五)、框架梁与梁上柱连接节点竣工图	2010.10.18
0031 结构竣工图	0031 结构竣工图\00000005.tif	结施-01A	江苏五星建设集团有限公司	电梯顶部增加挂吊篮钢构竣工图	2010.10.18
0032 电气安装竣工图	0032 电气安装竣工图\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程电气安装竣工图	
0032 电气安装竣工图	0032 电气安装竣工图\00000001.tif		江苏五星建设集团有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程电气安装竣工图图纸目录	2010.10.18
0032 电气安装竣工图	0032 电气安装竣工图\00000002.tif	电施-1B	江苏五星建设集团有限公司	设计说明及主要材料表	2010.10.18
0032 电气安装竣工图	0032 电气安装竣工图\00000003.tif	电施-2B	江苏五星建设集团有限公司	观光电梯配电系统竣工图	2010.10.18
0033 幕墙竣工图	0033 幕墙竣工图\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程幕墙竣工图	
0033 幕墙竣工图	0033 幕墙竣工图\00000001.tif		江苏五星建设集团有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程幕墙竣工图图纸目录	2010.10.18
0033 幕墙竣工图	0033 幕墙竣工图\00000002.tif	建施-1A	江苏五星建设集团有限公司	幕墙竣工图图纸目录	2010.10.18
0033 幕墙竣工图	0033 幕墙竣工图\00000003.tif	建施-LM-01A	江苏五星建设集团有限公司	观光电梯立面分格竣工图	2010.10.18
0033 幕墙竣工图	0033 幕墙竣工图\00000004.tif	建施-PM-01A	江苏五星建设集团有限公司	观光电梯平面竣工图	2010.10.18
0033 幕墙竣工图	0033 幕墙竣工图\00000005.tif	建施-JD-01A、02A、03A	江苏五星建设集团有限公司	观光电梯节点竣工图	2010.10.18
0033 幕墙竣工图	0033 幕墙竣工图\00000006.tif	建施-JD-04A、05A、06A	江苏五星建设集团有限公司	观光电梯节点竣工图	2010.10.18
0033 幕墙竣工图	0033 幕墙竣工图\00000007.tif	建施-JD-07A、08A、09A	江苏五星建设集团有限公司	观光电梯节点竣工图	2010.10.18
0034 电梯竣工图	0034 电梯竣工图\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程电梯竣工图	
0034 电梯竣工图	0034 电梯竣工图\00000001.tif	100EN10-152	通州市升贤电梯有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程电梯竣工图图纸目录及技术要求规格	2010.10.18
0034 电梯竣工图	0034 电梯竣工图\00000002.tif	100EN10-152-1A、1B	通州市升贤电梯有限公司	井道平面竣工图	2010.10.18
0034 电梯竣工图	0034 电梯竣工图\00000003.tif	100EN10-152-2A、2B	通州市升贤电梯有限公司	厅门口留孔竣工图	2010.10.18
0034 电梯竣工图	0034 电梯竣工图\00000004.tif	100EN10-152-4	通州市升贤电梯有限公司	电梯井道剖面竣工图	2010.10.18
